doc_id,doc_type,injected_difficulty,valid,readable,n_records,reconciles,n_errors,errors,response_sha256
catalog-sup-01-20250401,catalog,,True,True,29,,0,,d6edd44e9d3472408d987e2ffbe49220fe81678b2a5f7ae2e1cc2d2a2fc425e0
catalog-sup-01-20251103,catalog,table-spans-page-break,True,True,34,,0,,fc712fbce8fa775f1f8cbc464967d3fae534d08883a742a0f60dcbd2e7e6f9b7
catalog-sup-01-20260504,catalog,,True,True,34,,0,,cec0a31997a38fe6d477ac87abafe355ee4e74c76900394b7af74e156f3c557a
contract-sup-01-20241130,contract,scanned-200dpi-skewed signature-block,True,True,5,,0,,e9d2247ed5d42b121547369513755a0ae942fce1a16aa4b7e6e1ca1f9cc33a14
contract-sup-01-20250629,contract,,True,True,5,,0,,0bb8e8b0e125455bddf18742c851bfe1d675c3b23676d30696a1ce8fcfa74253
contract-sup-02-20250603,contract,,True,True,5,,0,,6d5877dc7f283a0978a6f4fa80e8184f6bbd4d749e43a85a2463d6d6c82e0102
contract-sup-02-20260113,contract,scanned-200dpi-skewed,True,True,5,,0,,ea819575628f9fbcaadebe40319b62b736db7caf2981d6d4da4416f896880578
contract-sup-03-20240726,contract,,True,True,5,,0,,9a2ac1a4a60486df9e6f8d656f96351a8bcfa5058b1fa3d0b376838a5ceed70a
contract-sup-03-20251209,contract,,True,True,5,,0,,28b9687af96a3cb1ead434bacfcd117cdbbcad4920a30c45c5b71efcef050157
contract-sup-04-20240122,contract,,True,True,5,,0,,637533bbba32fc38f3babf829b0a1c55280e2d6ce5904067803cda1db2e554ff
contract-sup-04-20251018,contract,clause-level-amendment,True,True,3,,0,,006c664f29a90e75e377765abfe61edd121590fe4b01e4e1887e46850b7e99b5
contract-sup-05-20250103,contract,,True,True,5,,0,,7b3f9a71dd918854528e10a8cde6c05ac2844f0eb2e313643039e5154d871340
contract-sup-05-20250924,contract,,True,True,5,,0,,034802cb1619dc21139073478c94733c9e79c98a67289b4f3161b21ab2b29657
contract-sup-06-20240928,contract,,True,True,5,,0,,adff3b7e0cdec7288f9875d6902c02dd3921a093a7ca5d3a3319be7943350748
contract-sup-06-20251209,contract,,True,True,5,,0,,fde25312dad231f653f310e8c4fdb6082aab5c4ada5e0f456ed9b2e6240a18d4
contract-sup-07-20240118,contract,,True,True,5,,0,,afb1f0ba9601e9d819b27f0634cd08415bd897b106a2df451ab8cd656354955c
contract-sup-07-20250602,contract,,True,True,5,,0,,2194d5eccd9bc5e92d4dab7ce6d604276d6ccb85cd9ee163cba795ea7b3d4a1d
contract-sup-08-20240905,contract,,True,True,5,,0,,522064449289b7ffbfdbb7682e7723427654fc1887979b0bac842e5512318f9a
contract-sup-08-20250729,contract,,True,True,5,,0,,c8fead23cccae449984485a145fc353d66daefe516417375386687b43a8d742e
contract-sup-09-20240212,contract,,True,True,5,,0,,3b397164097c447fd2f25d40b345fb26d6fe1403d996d13f012cf494584c36bb
contract-sup-09-20250909,contract,clause-level-amendment,True,True,3,,0,,a0ba6b517948de8987cddd71e0d92ea39be46b4eab647d78bdbdee9e3b5d230a
contract-sup-10-20250112,contract,,True,True,5,,0,,21e20db0d514067d28ba6557fbee48039ec70b386979e71ce8131c054bb8d81e
contract-sup-10-20251107,contract,,True,True,5,,0,,5f9fd15feeb769a9e6b86b240eadfec3d491afe1c1b52c7b529119d3600050a6
