doc_id,doc_type,filename,pages,title,subject,effective_from,effective_to,source_table,source_key,injected_difficulty,sha256
catalog-sup-01-20250401,catalog,sources/catalogs/catalog-sup-01-20250401.pdf,1,PRICE LIST — Sahyadri Agro Traders — April 2025,supplier SUP-01 prices,2025-04-01,,supplier_prices,SUP-01@2025-04-01,,9cb67f4a72ee457c973de99ff27dcf7efbdbc506ea45f124c7217d1ea29900a4
catalog-sup-01-20251103,catalog,sources/catalogs/catalog-sup-01-20251103.pdf,2,PRICE LIST — Sahyadri Agro Traders — November 2025,supplier SUP-01 prices,2025-11-03,,supplier_prices,SUP-01@2025-11-03,table-spans-page-break,e4bcb279e6689b09b9df66cee2f7b92fffb608bdb6809c19924285c6bfcdb6f6
catalog-sup-01-20260504,catalog,sources/catalogs/catalog-sup-01-20260504.pdf,1,PRICE LIST — Sahyadri Agro Traders — May 2026,supplier SUP-01 prices,2026-05-04,,supplier_prices,SUP-01@2026-05-04,,c360d35e42d05348e0642d766c030ffc3d2ad1e457c693ad09613ad86db0bf14
contract-sup-01-20241130,contract,sources/contracts/contract-sup-01-20241130.pdf,1,SUPPLY AGREEMENT — Sahyadri Agro Traders,supplier 1 terms,2024-11-30,2025-06-29,supplier_terms,1,scanned-200dpi-skewed signature-block,b14b30129057549e1e8f9cc5e7f87401237d65c3dae9a94d62be136e88075cbe
contract-sup-01-20250629,contract,sources/contracts/contract-sup-01-20250629.pdf,1,SUPPLY AGREEMENT — Sahyadri Agro Traders,supplier 1 terms,2025-06-29,,supplier_terms,2,,c4bd62c4b7f990def2d3746452864cd2fd7a76f5db913509fc3f9a46c227a49d
contract-sup-02-20250603,contract,sources/contracts/contract-sup-02-20250603.pdf,1,SUPPLY AGREEMENT — Godavari Grains & Pulses,supplier 2 terms,2025-06-03,2026-01-13,supplier_terms,3,,a396a50485cd7341c03a51609bd2c1b1daa02d94a598d47edb4d7491c41931f0
contract-sup-02-20260113,contract,sources/contracts/contract-sup-02-20260113.pdf,1,SUPPLY AGREEMENT — Godavari Grains & Pulses,supplier 2 terms,2026-01-13,,supplier_terms,4,scanned-200dpi-skewed,24438f0ae2f2aaa2d7fe6ac2ab5115d204dcff42d148ed7e502e299f35c967f6
contract-sup-03-20240726,contract,sources/contracts/contract-sup-03-20240726.pdf,1,SUPPLY AGREEMENT — Gokul Dairy Distributors,supplier 3 terms,2024-07-26,2025-12-09,supplier_terms,5,,43b1f658f86764c42455f3682a9bf36f4cab09004e46baef7f7bd422ea6ff41e
contract-sup-03-20251209,contract,sources/contracts/contract-sup-03-20251209.pdf,1,SUPPLY AGREEMENT — Gokul Dairy Distributors,supplier 3 terms,2025-12-09,,supplier_terms,6,,5f24c43dec5db5d8f95e6c3692f9a60d0cfc27ea4a7f9f0407002d625fad3f6a
contract-sup-04-20240122,contract,sources/contracts/contract-sup-04-20240122.pdf,1,SUPPLY AGREEMENT — Deccan Oils & Provisions,supplier 4 terms,2024-01-22,2025-10-18,supplier_terms,7,,ff464cd3b0e3748ba2492db2594c0436e5acf4a0b4c8b62b031f156fc1e0aec7
contract-sup-04-20251018,contract,sources/contracts/contract-sup-04-20251018.pdf,1,AMENDMENT — Deccan Oils & Provisions,supplier 4 terms,2025-10-18,,supplier_terms,8,clause-level-amendment,64a63607abc9e16ef0e2ea290897dc6c66ac72b105e6b1ff6cbab66039212fac
contract-sup-05-20250103,contract,sources/contracts/contract-sup-05-20250103.pdf,1,SUPPLY AGREEMENT — Bhusari Foods Pvt Ltd,supplier 5 terms,2025-01-03,2025-09-24,supplier_terms,9,,b172ca04c1e3264375b78bb54d5ad8575316eeb5467d12c5ff4ea0ee6691458b
contract-sup-05-20250924,contract,sources/contracts/contract-sup-05-20250924.pdf,1,SUPPLY AGREEMENT — Bhusari Foods Pvt Ltd,supplier 5 terms,2025-09-24,,supplier_terms,10,,537f3df0a34aabf888f8d32009e6a0b79513ef8b4fe88711bdf9774e20d05ca8
contract-sup-06-20240928,contract,sources/contracts/contract-sup-06-20240928.pdf,1,SUPPLY AGREEMENT — Jhat Pat Foods,supplier 6 terms,2024-09-28,2025-12-09,supplier_terms,11,,7ae990d3393a79c17c24c9a8d2cd537c9631fda8a19e8fca299fc25ebad4710c
contract-sup-06-20251209,contract,sources/contracts/contract-sup-06-20251209.pdf,1,SUPPLY AGREEMENT — Jhat Pat Foods,supplier 6 terms,2025-12-09,,supplier_terms,12,,2fb5844c06614005b821f5df8185b4a988f736718c7085423cb636bf4548c37a
contract-sup-07-20240118,contract,sources/contracts/contract-sup-07-20240118.pdf,1,SUPPLY AGREEMENT — Nilgiri Beverage Company,supplier 7 terms,2024-01-18,2025-06-02,supplier_terms,13,,36d8595881288f23b4c37f262587e1018fcf2d8e919c20d0c29da7c479e42ae7
contract-sup-07-20250602,contract,sources/contracts/contract-sup-07-20250602.pdf,1,SUPPLY AGREEMENT — Nilgiri Beverage Company,supplier 7 terms,2025-06-02,,supplier_terms,14,,da70cb3b0917a236382aa10abbff7365d24f653adb64938e890bd657c9a874e3
contract-sup-08-20240905,contract,sources/contracts/contract-sup-08-20240905.pdf,1,SUPPLY AGREEMENT — Mithas Confectioners,supplier 8 terms,2024-09-05,2025-07-29,supplier_terms,15,,13deaad66da3d7b90739e14f30a07b4e42d94fea199a10dfbbb0ceb29a72bf5c
contract-sup-08-20250729,contract,sources/contracts/contract-sup-08-20250729.pdf,1,SUPPLY AGREEMENT — Mithas Confectioners,supplier 8 terms,2025-07-29,,supplier_terms,16,,37989bd23eb3d65a7f093a22bb9c9b238612401684366421a72a6b6a69f3afea
contract-sup-09-20240212,contract,sources/contracts/contract-sup-09-20240212.pdf,1,SUPPLY AGREEMENT — Nirmal Home Products,supplier 9 terms,2024-02-12,2025-09-09,supplier_terms,17,,affb393174a1cbe43a61d850b4ec4ceba383b7c9d58df46460b0ba36822d0f91
contract-sup-09-20250909,contract,sources/contracts/contract-sup-09-20250909.pdf,1,AMENDMENT — Nirmal Home Products,supplier 9 terms,2025-09-09,,supplier_terms,18,clause-level-amendment,8b8f23106e92a5bab161f0f94c2809d09ff961eb58586828117c898847bb2776
