doc_id,doc_type,injected_difficulty,pages,chars,tables,ocr_used,parse_seconds,sha256
catalog-sup-01-20250401,catalog,,1,3089,1,False,42.1,7097e9ee4d740891fd6e5f229ae22704546b628dac547fd3db0e2c3ae591a81f
catalog-sup-01-20251103,catalog,table-spans-page-break,2,3767,2,False,13.9,84a3e126bc0403fe4dfc707f54c078d3d01fe46a1aa0e520d7fefaf8b1ce7eab
catalog-sup-01-20260504,catalog,,1,3577,1,False,12.1,6874d8408c6d8d377905a0ea125c1cc0bbc1b48c9fcd15a067a18e9f88762ede
contract-sup-01-20241130,contract,scanned-200dpi-skewed signature-block,1,442,0,True,4.2,e2bdcf52ce78d5c1d4d222412e3deefcf595d9d423f5f67e931da738e0253ff8
contract-sup-01-20250629,contract,,1,522,0,False,1.2,1653609d337297e36be1b6e0d03dfe05f3ae251009ad8686df2ebc15ff42b1b0
contract-sup-02-20250603,contract,,1,524,0,False,1.1,c2ec417a9ee9ee3b2ce5636465a4d2d8ffe362c82c74b9d5c6e8902173475845
contract-sup-02-20260113,contract,scanned-200dpi-skewed,1,524,0,True,2.9,2181a2a628811794dd6c203c65921bc559e8cac7616095c34a3479d987ee8111
contract-sup-03-20240726,contract,,1,525,0,False,1.1,a3ee4774a2b15188b6be6690dcb3a0f792a420284b1207f2fc4e3830d6b9650e
contract-sup-03-20251209,contract,,1,535,0,False,1.1,af95b4726e384c35a3b141db2d9af10ec2071e561c1f0ed14e3c73a459ab2cbe
contract-sup-04-20240122,contract,,1,530,0,False,1.3,dba6f3945d979831b108415a1bd103c1eb1cc8346e06bad6cfe739d7c3e57b29
contract-sup-04-20251018,contract,clause-level-amendment,1,421,0,False,1.2,332f35a829f573f58513b669ee847792c1560184c6c3485fe444deb29198a42c
contract-sup-05-20250103,contract,,1,526,0,False,1.2,32f75ece972a20277e37f4fc493de04c75436cb5da8ce2e1fcd1d6a2e1151e81
contract-sup-05-20250924,contract,,1,531,0,False,1.1,be7bc47c7f4101a355b74b971e7487179fd9e7ee61b94584513d12a1c9781596
contract-sup-06-20240928,contract,,1,522,0,False,1.1,b73be418866f4ae173d2d8b952d4880381591ae523c33c9d343642340c977ae4
contract-sup-06-20251209,contract,,1,525,0,False,1.1,27964688e3cc006254754ae68dc4b10edfac6969dfc3e3b7a777859aa26b18d2
contract-sup-07-20240118,contract,,1,520,0,False,1.1,5e34f959ff823a530da9e61b884128eaa3d59fb13c8d09ded5002a84439c669b
contract-sup-07-20250602,contract,,1,524,0,False,1.1,7693334b98d27d1bcc364d17061cc75b2fecaa51ce93c7e36e276f56028cc09c
