category_id,name,department
1,Fruits & Vegetables,Fresh
2,"Atta, Rice & Dal",Staples
3,Dairy & Paneer,Fresh
4,Edible Oils & Ghee,Staples
5,Masalas & Spices,Staples
6,Snacks & Namkeen,Packaged Foods
7,Biscuits & Bakery,Packaged Foods
8,Ready to Cook,Packaged Foods
9,Tea & Coffee,Beverages
10,Soft Drinks & Juices,Beverages
11,Sweets & Chocolates,Packaged Foods
12,Home Care,Household
13,Detergents & Laundry,Household
14,Paper & Disposables,Household
15,Personal Care,Health & Beauty
16,Health & Wellness,Health & Beauty
17,Baby Care,Health & Beauty
18,Pooja & Festive,General Merchandise
