product_id,sku,name,category_id,unit_of_measure,pack_size,list_price,is_active,discontinued_on
1,FNV-0001,Ratnagiri Alphonso Mangoes Loose,1,each,4,25.00,true,
2,FNV-0002,Green Konkan Potatoes Grade A,1,each,1,25.00,true,
3,FNV-0003,Krishi Bazaar Tomatoes 500 g Pack,1,each,2,35.00,true,
4,FNV-0004,Ratnagiri Bottle Gourd 500 g Pack,1,each,1,25.00,true,
5,FNV-0005,Sahyadri Bananas 1 kg Pack,1,each,4,130.00,true,
6,FNV-0006,Sahyadri Okra Loose,1,each,2,30.00,true,
7,FNV-0007,Sahyadri Potatoes Loose,1,each,4,15.00,true,
8,FNV-0008,Ratnagiri Cauliflower 1 kg Pack,1,each,4,80.00,true,
9,FNV-0009,Green Konkan Bottle Gourd Grade A,1,each,1,60.00,true,
10,FNV-0010,Krishi Bazaar Lemons 500 g Pack,1,each,1,50.00,true,
11,FNV-0011,Green Konkan Tomatoes Grade A,1,each,2,59.00,true,
12,FNV-0012,Green Konkan Lemons 500 g Pack,1,each,1,20.00,true,
13,FNV-0013,Ratnagiri Onions Farm Fresh,1,each,1,39.00,true,
14,FNV-0014,Green Konkan Cauliflower Farm Fresh,1,each,1,60.00,true,
15,FNV-0015,Ratnagiri Onions Farm Fresh #2,1,each,4,30.00,true,
16,FNV-0016,Krishi Bazaar Tomatoes Grade A,1,each,2,69.00,true,
17,FNV-0017,Krishi Bazaar Coriander Farm Fresh,1,each,2,29.00,true,
18,FNV-0018,Sahyadri Okra Loose #2,1,each,1,35.00,true,
19,FNV-0019,Sahyadri Bananas 500 g Pack,1,each,4,40.00,true,
20,FNV-0020,Green Konkan Alphonso Mangoes 500 g Pack,1,each,1,70.00,true,
21,FNV-0021,Krishi Bazaar Cauliflower Grade A,1,each,1,55.00,true,
22,FNV-0022,Krishi Bazaar Cauliflower Farm Fresh,1,each,4,30.00,true,
23,FNV-0023,Ratnagiri Potatoes 1 kg Pack,1,each,1,50.00,true,
24,FNV-0024,Green Konkan Bananas Farm Fresh,1,each,1,40.00,true,
25,FNV-0025,Krishi Bazaar Onions Grade A,1,each,1,59.00,true,
26,FNV-0026,Ratnagiri Bottle Gourd Grade A,1,each,4,40.00,true,
