supplier_product_id,supplier_id,product_id,supplier_sku,is_preferred,min_order_qty,case_pack
1,2,1,PRD-0001-S02,true,1,1
2,2,2,PRD-0002-S02,true,6,6
3,2,3,PRD-0003-S02,true,12,12
4,2,4,PRD-0004-S02,true,6,6
5,2,5,PRD-0005-S02,true,6,6
6,2,6,PRD-0006-S02,true,12,12
7,2,7,PRD-0007-S02,true,6,6
8,2,8,PRD-0008-S02,true,12,12
9,2,9,PRD-0009-S02,true,12,12
10,2,10,PRD-0010-S02,true,6,6
11,2,11,PRD-0011-S02,true,12,12
12,2,12,PRD-0012-S02,true,6,6
13,2,13,PRD-0013-S02,true,12,12
14,2,14,PRD-0014-S02,true,1,1
15,2,15,PRD-0015-S02,true,6,6
16,2,16,PRD-0016-S02,true,6,6
17,2,17,PRD-0017-S02,true,12,12
18,2,18,PRD-0018-S02,true,12,12
19,2,19,PRD-0019-S02,true,6,6
20,2,20,PRD-0020-S02,true,1,1
21,2,21,PRD-0021-S02,true,12,12
22,2,22,PRD-0022-S02,true,12,12
23,2,23,PRD-0023-S02,true,24,24
24,2,24,PRD-0024-S02,true,24,24
25,2,25,PRD-0025-S02,true,6,6
26,2,26,PRD-0026-S02,true,24,24
27,2,27,PRD-0027-S02,true,6,6
28,2,28,PRD-0028-S02,true,12,12
29,2,29,PRD-0029-S02,true,24,24
30,2,30,PRD-0030-S02,true,12,12
31,2,31,PRD-0031-S02,true,12,12
32,2,32,PRD-0032-S02,true,6,6
33,2,33,PRD-0033-S02,true,24,24
34,2,34,PRD-0034-S02,true,12,12
35,2,35,PRD-0035-S02,true,24,24
36,2,36,PRD-0036-S02,true,6,6
37,2,37,PRD-0037-S02,true,24,24
38,2,38,PRD-0038-S02,true,6,6
39,2,39,PRD-0039-S02,true,12,12
40,2,40,PRD-0040-S02,true,12,12
41,2,41,PRD-0041-S02,true,1,1
42,2,42,PRD-0042-S02,true,1,1
43,2,43,PRD-0043-S02,true,1,1
44,2,44,PRD-0044-S02,true,6,6
45,2,45,PRD-0045-S02,true,6,6
46,2,46,PRD-0046-S02,true,6,6
47,2,47,PRD-0047-S02,true,12,12
48,2,48,PRD-0048-S02,true,6,6
49,1,49,BAK-0001-S01,true,1,1
50,1,50,BAK-0002-S01,true,6,6
51,1,51,BAK-0003-S01,true,1,1
52,1,52,BAK-0004-S01,true,12,12
53,1,53,BAK-0005-S01,true,1,1
54,1,54,BAK-0006-S01,true,24,24
55,1,55,BAK-0007-S01,true,6,6
56,1,56,BAK-0008-S01,true,6,6
57,1,57,BAK-0009-S01,true,24,24
58,1,58,BAK-0010-S01,true,12,12
59,1,59,BAK-0011-S01,true,12,12
60,1,60,BAK-0012-S01,true,6,6
61,1,61,BAK-0013-S01,true,12,12
62,1,62,BAK-0014-S01,true,12,12
63,1,63,BAK-0015-S01,true,12,12
64,1,64,BAK-0016-S01,true,1,1
65,1,65,BAK-0017-S01,true,6,6
66,1,66,BAK-0018-S01,true,6,6
67,1,67,BAK-0019-S01,true,24,24
68,1,68,BAK-0020-S01,true,24,24
69,1,69,BAK-0021-S01,true,12,12
70,1,70,BAK-0022-S01,true,1,1
71,1,71,BAK-0023-S01,true,24,24
72,1,72,BAK-0024-S01,true,1,1
73,1,73,BAK-0025-S01,true,24,24
74,1,74,BAK-0026-S01,true,6,6
75,3,75,DRY-0001-S03,true,24,24
76,3,76,DRY-0002-S03,true,6,6
77,3,77,DRY-0003-S03,true,6,6
78,3,78,DRY-0004-S03,true,24,24
79,3,79,DRY-0005-S03,true,6,6
80,3,80,DRY-0006-S03,true,12,12
81,3,81,DRY-0007-S03,true,1,1
82,3,82,DRY-0008-S03,true,12,12
83,3,83,DRY-0009-S03,true,6,6
84,3,84,DRY-0010-S03,true,6,6
85,3,85,DRY-0011-S03,true,24,24
86,3,86,DRY-0012-S03,true,6,6
87,3,87,DRY-0013-S03,true,12,12
88,3,88,DRY-0014-S03,true,1,1
89,3,89,DRY-0015-S03,true,6,6
90,3,90,DRY-0016-S03,true,12,12
91,3,91,DRY-0017-S03,true,6,6
92,3,92,DRY-0018-S03,true,24,24
93,3,93,DRY-0019-S03,true,6,6
94,3,94,DRY-0020-S03,true,12,12
95,3,95,DRY-0021-S03,true,12,12
96,3,96,DRY-0022-S03,true,1,1
97,3,97,DRY-0023-S03,true,6,6
98,3,98,DRY-0024-S03,true,12,12
99,3,99,DRY-0025-S03,true,1,1
100,3,100,DRY-0026-S03,true,24,24
101,3,101,DRY-0027-S03,true,6,6
102,3,102,DRY-0028-S03,true,6,6
103,3,103,DRY-0029-S03,true,12,12
104,3,104,DRY-0030-S03,true,1,1
105,3,105,DRY-0031-S03,true,12,12
106,3,106,DRY-0032-S03,true,24,24
107,3,107,DRY-0033-S03,true,6,6
108,3,108,DRY-0034-S03,true,24,24
