supplier_price_id,supplier_id,product_id,unit_cost,currency,effective_from,effective_to,source,supersedes_id
1,2,1,1.29,GBP,2025-05-03,2026-02-01,seed,
2,2,1,1.34,GBP,2026-02-01,,seed,1
3,2,2,0.29,GBP,2025-06-21,2026-01-31,seed,
4,2,2,0.32,GBP,2026-01-31,,seed,3
5,2,3,0.92,GBP,2025-02-05,2026-02-14,seed,
6,2,3,0.97,GBP,2026-02-14,,seed,5
7,2,4,0.31,GBP,2024-11-13,2025-12-05,seed,
8,2,4,0.33,GBP,2025-12-05,,seed,7
9,2,5,4.83,GBP,2025-01-23,2025-10-14,seed,
10,2,5,5.49,GBP,2025-10-14,,seed,9
11,2,6,1.19,GBP,2025-06-11,2026-03-22,seed,
12,2,6,1.29,GBP,2026-03-22,,seed,11
13,2,7,0.64,GBP,2025-05-05,2025-11-19,seed,
14,2,7,0.72,GBP,2025-11-19,,seed,13
15,2,8,2.33,GBP,2025-09-17,2026-03-24,seed,
16,2,8,2.57,GBP,2026-03-24,,seed,15
17,2,9,3.38,GBP,2024-12-25,2025-11-20,seed,
18,2,9,3.51,GBP,2025-11-20,,seed,17
19,2,10,1.97,GBP,2025-04-28,2026-05-11,seed,
20,2,10,2.12,GBP,2026-05-11,,seed,19
21,2,11,1.26,GBP,2024-09-07,2025-10-06,seed,
22,2,11,1.41,GBP,2025-10-06,,seed,21
23,2,12,4.98,GBP,2025-10-15,2026-04-28,seed,
24,2,12,5.24,GBP,2026-04-28,,seed,23
25,2,13,4.57,GBP,2024-12-23,2025-10-01,seed,
26,2,13,4.80,GBP,2025-10-01,,seed,25
27,2,14,2.50,GBP,2025-03-18,2026-02-11,seed,
28,2,14,2.81,GBP,2026-02-11,,seed,27
29,2,15,0.58,GBP,2025-05-12,2026-04-04,seed,
30,2,15,0.64,GBP,2026-04-04,,seed,29
31,2,16,2.34,GBP,2025-03-18,2026-02-21,seed,
32,2,16,2.51,GBP,2026-02-21,,seed,31
33,2,17,0.89,GBP,2025-09-09,2026-03-03,seed,
34,2,17,0.96,GBP,2026-03-03,,seed,33
35,2,18,1.68,GBP,2024-10-23,2025-09-18,seed,
36,2,18,1.79,GBP,2025-09-18,,seed,35
37,2,19,1.25,GBP,2025-03-19,2025-09-05,seed,
38,2,19,1.31,GBP,2025-09-05,,seed,37
39,2,20,2.52,GBP,2025-04-17,2026-02-16,seed,
40,2,20,2.72,GBP,2026-02-16,,seed,39
41,2,21,1.52,GBP,2024-12-21,2025-11-27,seed,
42,2,21,1.65,GBP,2025-11-27,,seed,41
43,2,22,1.13,GBP,2024-11-05,2025-09-16,seed,
44,2,22,1.26,GBP,2025-09-16,,seed,43
45,2,23,0.91,GBP,2025-11-09,2026-05-12,seed,
46,2,23,1.00,GBP,2026-05-12,,seed,45
47,2,24,2.35,GBP,2025-06-10,2025-10-23,seed,
48,2,24,2.66,GBP,2025-10-23,,seed,47
49,2,25,2.63,GBP,2025-04-24,2026-05-19,seed,
50,2,25,2.95,GBP,2026-05-19,,seed,49
51,2,26,1.62,GBP,2025-05-22,2026-03-23,seed,
52,2,26,1.78,GBP,2026-03-23,,seed,51
53,2,27,0.29,GBP,2024-12-05,2025-10-09,seed,
54,2,27,0.32,GBP,2025-10-09,,seed,53
55,2,28,0.33,GBP,2025-11-21,2026-04-13,seed,
56,2,28,0.34,GBP,2026-04-13,,seed,55
57,2,29,0.65,GBP,2025-02-20,2025-10-24,seed,
58,2,29,0.71,GBP,2025-10-24,,seed,57
59,2,30,1.42,GBP,2025-02-10,2025-10-20,seed,
60,2,30,1.58,GBP,2025-10-20,,seed,59
61,2,31,1.92,GBP,2024-08-24,2025-09-09,seed,
62,2,31,2.13,GBP,2025-09-09,,seed,61
63,2,32,0.60,GBP,2025-01-14,2025-09-16,seed,
64,2,32,0.62,GBP,2025-09-16,,seed,63
65,2,33,1.69,GBP,2025-08-16,2026-02-28,seed,
66,2,33,1.79,GBP,2026-02-28,,seed,65
