promotion_id,store_id,name,discount_pct,starts_on,ends_on
1,1,Dairy & Eggs — 10% off,10.00,2026-01-20,2026-02-09
2,1,"Beer, Wine & Spirits — 10% off",10.00,2026-02-13,2026-02-26
3,1,Health & Wellbeing — 25% off,25.00,2026-01-11,2026-01-31
4,1,Paper & Disposables — 25% off,25.00,2026-04-14,2026-05-04
5,1,Baby & Child — 10% off,10.00,2026-03-12,2026-03-18
6,1,Soft Drinks — 20% off,20.00,2026-05-23,2026-06-12
7,1,"Beer, Wine & Spirits — 20% off",20.00,2026-05-05,2026-06-01
8,1,Paper & Disposables — 20% off,20.00,2026-03-20,2026-03-26
9,1,"Beer, Wine & Spirits — 25% off",25.00,2026-05-28,2026-06-03
10,1,Paper & Disposables — 25% off,25.00,2026-02-08,2026-02-21
11,1,Meat & Fish — 33% off,33.00,2026-04-15,2026-05-05
12,1,Fresh Produce — 15% off,15.00,2026-03-26,2026-04-01
13,1,Health & Wellbeing — 25% off,25.00,2026-04-07,2026-04-13
14,1,Pet Supplies — 33% off,33.00,2026-01-15,2026-02-04
