promotion_id,product_id
1,82
1,87
1,90
1,95
2,343
2,344
2,345
2,350
2,353
2,355
2,357
2,367
3,451
3,455
3,456
3,459
3,467
4,272
4,279
4,281
4,282
4,291
4,293
4,297
4,298
4,302
5,238
5,240
5,242
5,244
5,246
5,251
5,258
5,259
5,262
5,268
6,238
6,259
6,261
6,262
6,268
7,105
7,106
7,107
7,112
7,113
7,123
7,129
8,372
8,375
8,376
8,383
8,388
8,391
8,394
8,398
8,399
8,400
8,401
9,311
9,316
9,318
9,321
9,327
9,336
10,405
10,412
10,416
10,427
10,429
10,435
11,438
11,444
11,449
11,459
11,462
11,465
12,70
12,82
12,87
12,88
12,92
12,97
12,99
13,371
13,383
13,390
13,395
13,396
14,35
14,37
14,42
14,44
14,46
14,47
14,49
14,54
14,56
14,67
