po_line_id,po_id,product_id,quantity_ordered,quantity_received,unit_cost,line_total
1,1,4,6,6,17.46,104.76
2,1,5,30,30,91.92,2757.60
3,1,12,12,12,13.19,158.28
4,1,18,24,24,25.72,617.28
5,1,19,48,48,26.20,1257.60
6,1,20,1,1,49.15,49.15
7,1,22,12,12,21.61,259.32
8,1,28,12,12,41.71,500.52
9,2,81,24,24,35.81,859.44
10,2,83,12,12,35.98,431.76
11,2,101,12,12,55.29,663.48
12,3,135,18,18,564.48,10160.64
13,3,144,3,3,42.35,127.05
14,3,146,12,12,48.60,583.20
15,3,157,2,2,41.79,83.58
16,3,159,6,6,45.75,274.50
17,4,176,12,12,46.84,562.08
18,4,177,1,1,61.31,61.31
19,4,191,12,12,19.73,236.76
20,4,196,12,12,50.02,600.24
21,4,202,6,6,40.08,240.48
22,4,211,24,24,41.76,1002.24
23,4,218,12,12,24.47,293.64
24,4,224,2,2,46.71,93.42
25,4,225,6,6,47.76,286.56
26,4,235,12,12,20.08,240.96
27,5,239,12,12,105.87,1270.44
28,5,240,6,6,72.54,435.24
29,5,242,12,12,64.36,772.32
30,5,247,24,24,59.94,1438.56
31,5,248,6,6,94.92,569.52
32,5,258,6,6,119.18,715.08
33,5,261,6,6,39.67,238.02
34,5,266,1,1,76.64,76.64
35,5,270,6,6,43.14,258.84
36,6,276,12,12,174.22,2090.64
37,6,278,6,6,99.69,598.14
38,6,283,6,6,252.81,1516.86
39,6,286,12,12,193.92,2327.04
40,6,295,24,24,117.02,2808.48
41,6,312,6,6,17.14,102.84
42,6,313,6,6,34.24,205.44
43,6,315,12,12,27.52,330.24
44,6,317,3,3,48.65,145.95
45,6,335,6,6,15.78,94.68
46,7,337,24,24,103.09,2474.16
47,7,339,12,12,105.28,1263.36
48,7,341,6,6,154.15,924.90
49,7,342,6,6,73.12,438.72
50,7,344,12,12,65.04,780.48
51,7,352,24,24,131.89,3165.36
52,7,353,6,6,128.46,770.76
53,7,358,6,6,90.00,540.00
54,7,360,18,18,71.03,1278.54
55,7,361,9,9,208.47,1876.23
