sale_id,store_id,sold_at,business_date,sale_type,tender_type,subtotal,discount_total,tax_total,total
1,1,2026-01-02T19:29:03+05:30,2026-01-02,sale,mobile,875.00,0.00,76.25,951.25
2,1,2026-01-02T13:31:23+05:30,2026-01-02,sale,mobile,360.00,0.00,21.60,381.60
3,1,2026-01-02T18:26:44+05:30,2026-01-02,sale,card,290.00,0.00,17.30,307.30
4,1,2026-01-02T21:51:50+05:30,2026-01-02,sale,mobile,89.00,0.00,16.02,105.02
5,1,2026-01-02T10:02:35+05:30,2026-01-02,sale,cash,110.00,0.00,5.50,115.50
6,1,2026-01-02T10:44:22+05:30,2026-01-02,sale,cash,2128.00,0.00,154.78,2282.78
7,1,2026-01-02T15:40:40+05:30,2026-01-02,sale,mobile,660.00,0.00,47.30,707.30
8,1,2026-01-02T17:01:53+05:30,2026-01-02,sale,card,1395.00,0.00,100.95,1495.95
9,1,2026-01-02T19:34:24+05:30,2026-01-02,sale,card,499.00,0.00,41.05,540.05
10,1,2026-01-02T08:03:16+05:30,2026-01-02,sale,mobile,904.00,0.00,50.10,954.10
11,1,2026-01-02T19:44:43+05:30,2026-01-02,sale,card,978.00,0.00,54.10,1032.10
12,1,2026-01-02T17:36:06+05:30,2026-01-02,sale,mobile,805.00,0.00,44.80,849.80
13,1,2026-01-02T17:23:01+05:30,2026-01-02,sale,cash,80.00,0.00,0.00,80.00
14,1,2026-01-02T18:56:52+05:30,2026-01-02,sale,mobile,545.00,0.00,36.70,581.70
15,1,2026-01-02T20:27:56+05:30,2026-01-02,sale,card,1436.00,0.00,71.80,1507.80
16,1,2026-01-02T11:34:25+05:30,2026-01-02,sale,mobile,109.00,0.00,17.82,126.82
17,1,2026-01-02T11:10:13+05:30,2026-01-02,sale,mobile,325.00,0.00,16.25,341.25
18,1,2026-01-02T11:12:23+05:30,2026-01-02,sale,mobile,359.00,0.00,17.95,376.95
19,1,2026-01-02T13:55:35+05:30,2026-01-02,sale,mobile,785.00,0.00,39.25,824.25
20,1,2026-01-02T09:42:01+05:30,2026-01-02,sale,card,3143.00,0.00,276.31,3419.31
21,1,2026-01-02T20:30:14+05:30,2026-01-02,sale,cash,945.00,0.00,74.85,1019.85
22,1,2026-01-02T15:32:39+05:30,2026-01-02,sale,cash,577.00,0.00,61.65,638.65
23,1,2026-01-02T18:26:52+05:30,2026-01-02,sale,cash,500.00,0.00,44.50,544.50
24,1,2026-01-02T17:17:16+05:30,2026-01-02,sale,mobile,545.00,0.00,27.25,572.25
25,1,2026-01-02T18:58:16+05:30,2026-01-02,sale,cash,1083.00,0.00,95.53,1178.53
26,1,2026-01-02T20:18:16+05:30,2026-01-02,sale,mobile,299.00,0.00,43.20,342.20
27,1,2026-01-02T17:59:26+05:30,2026-01-02,sale,cash,645.00,0.00,84.80,729.80
28,1,2026-01-02T11:46:38+05:30,2026-01-02,sale,mobile,2247.00,0.00,235.34,2482.34
29,1,2026-01-02T17:18:12+05:30,2026-01-02,sale,mobile,803.00,0.00,53.51,856.51
30,1,2026-01-02T09:24:54+05:30,2026-01-02,sale,card,400.00,0.00,20.00,420.00
31,1,2026-01-02T11:43:37+05:30,2026-01-02,sale,mobile,59.00,0.00,16.52,75.52
32,1,2026-01-02T20:11:20+05:30,2026-01-02,sale,cash,558.00,0.00,71.03,629.03
33,1,2026-01-02T19:10:35+05:30,2026-01-02,sale,mobile,1040.00,0.00,77.55,1117.55
34,1,2026-01-02T15:04:45+05:30,2026-01-02,sale,cash,719.00,0.00,69.25,788.25
35,1,2026-01-02T09:44:56+05:30,2026-01-02,sale,mobile,310.00,0.00,15.50,325.50
36,1,2026-01-02T20:25:21+05:30,2026-01-02,sale,mobile,1974.00,0.00,180.42,2154.42
37,1,2026-01-02T19:33:01+05:30,2026-01-02,sale,mobile,1235.00,0.00,109.90,1344.90
38,1,2026-01-02T18:25:45+05:30,2026-01-02,sale,mobile,600.00,0.00,30.00,630.00
39,1,2026-01-02T17:41:36+05:30,2026-01-02,sale,card,1140.00,0.00,57.00,1197.00
40,1,2026-01-02T17:49:56+05:30,2026-01-02,sale,card,285.00,0.00,51.30,336.30
41,1,2026-01-02T11:48:57+05:30,2026-01-02,sale,cash,554.00,0.00,57.95,611.95
42,1,2026-01-02T10:44:17+05:30,2026-01-02,sale,mobile,105.00,0.00,18.90,123.90
43,1,2026-01-02T16:34:35+05:30,2026-01-02,sale,mobile,707.00,0.00,81.59,788.59
44,1,2026-01-02T20:21:15+05:30,2026-01-02,sale,mobile,618.00,0.00,59.03,677.03
45,1,2026-01-02T21:22:39+05:30,2026-01-02,sale,cash,225.00,0.00,27.00,252.00
46,1,2026-01-02T19:52:48+05:30,2026-01-02,sale,mobile,1582.00,0.00,109.85,1691.85
