sale_line_id,sale_id,store_id,business_date,product_id,promotion_id,quantity,unit_price,unit_cost,discount_amount,line_total
1,1,1,2026-01-02,423,,1,180.00,124.01,0.00,180.00
2,1,1,2026-01-02,301,,1,260.00,174.30,0.00,260.00
3,1,1,2026-01-02,53,,1,195.00,165.75,0.00,195.00
4,1,1,2026-01-02,213,,1,70.00,50.60,0.00,70.00
5,1,1,2026-01-02,294,,1,170.00,99.77,0.00,170.00
6,2,1,2026-01-02,216,,2,60.00,42.01,0.00,120.00
7,2,1,2026-01-02,8,,3,80.00,56.16,0.00,240.00
8,3,1,2026-01-02,590,,1,65.00,35.84,0.00,65.00
9,3,1,2026-01-02,108,,1,190.00,160.14,0.00,190.00
10,3,1,2026-01-02,34,,1,35.00,26.03,0.00,35.00
11,4,1,2026-01-02,233,,1,89.00,56.93,0.00,89.00
12,5,1,2026-01-02,124,,1,110.00,92.34,0.00,110.00
13,6,1,2026-01-02,66,,1,235.00,197.59,0.00,235.00
14,6,1,2026-01-02,95,,1,50.00,37.39,0.00,50.00
15,6,1,2026-01-02,64,,1,819.00,705.33,0.00,819.00
16,6,1,2026-01-02,216,,2,60.00,42.01,0.00,120.00
17,6,1,2026-01-02,2,,1,25.00,16.87,0.00,25.00
18,6,1,2026-01-02,263,,1,59.00,41.66,0.00,59.00
19,6,1,2026-01-02,35,,1,590.00,499.21,0.00,590.00
20,6,1,2026-01-02,414,,1,230.00,159.44,0.00,230.00
21,7,1,2026-01-02,93,,1,70.00,53.83,0.00,70.00
22,7,1,2026-01-02,56,,2,240.00,203.77,0.00,480.00
23,7,1,2026-01-02,411,,1,110.00,70.92,0.00,110.00
24,8,1,2026-01-02,114,,1,235.00,196.91,0.00,235.00
25,8,1,2026-01-02,278,,2,170.00,99.69,0.00,340.00
26,8,1,2026-01-02,495,,2,120.00,67.77,0.00,240.00
27,8,1,2026-01-02,73,,2,40.00,32.52,0.00,80.00
28,8,1,2026-01-02,88,,1,60.00,48.28,0.00,60.00
29,8,1,2026-01-02,36,,2,220.00,187.93,0.00,440.00
30,9,1,2026-01-02,59,,1,269.00,231.01,0.00,269.00
31,9,1,2026-01-02,260,,2,115.00,79.02,0.00,230.00
32,10,1,2026-01-02,158,,1,80.00,53.37,0.00,80.00
33,10,1,2026-01-02,241,,1,70.00,47.60,0.00,70.00
34,10,1,2026-01-02,367,,1,269.00,161.16,0.00,269.00
35,10,1,2026-01-02,73,,1,40.00,32.52,0.00,40.00
36,10,1,2026-01-02,117,,1,445.00,357.49,0.00,445.00
37,11,1,2026-01-02,236,,1,40.00,26.15,0.00,40.00
38,11,1,2026-01-02,369,,2,469.00,291.77,0.00,938.00
39,12,1,2026-01-02,36,,1,220.00,187.93,0.00,220.00
40,12,1,2026-01-02,221,,1,35.00,22.18,0.00,35.00
41,12,1,2026-01-02,45,,2,235.00,199.48,0.00,470.00
